Time,zone_id,no_of_ppl,zone_name
16:00:00,5,5,Stables Exhibition
16:05:00,5,5,Stables Exhibition
16:10:00,5,4,Stables Exhibition
16:15:00,5,4,Stables Exhibition
16:21:00,5,4,Stables Exhibition
16:26:00,5,3,Stables Exhibition
16:31:00,5,4,Stables Exhibition
16:36:00,5,4,Stables Exhibition
16:42:00,5,3,Stables Exhibition
16:47:00,5,3,Stables Exhibition
16:52:00,5,3,Stables Exhibition
16:57:00,5,3,Stables Exhibition
17:03:00,5,3,Stables Exhibition
17:08:00,5,3,Stables Exhibition
17:13:00,5,3,Stables Exhibition
17:18:00,5,3,Stables Exhibition
17:24:00,5,3,Stables Exhibition
17:29:00,5,3,Stables Exhibition
17:34:00,5,3,Stables Exhibition
17:40:00,5,3,Stables Exhibition
17:45:00,5,3,Stables Exhibition
17:50:00,5,3,Stables Exhibition
17:55:00,5,3,Stables Exhibition
09:00:00,6,0,Stables Cafe
09:05:00,6,0,Stables Cafe
09:11:00,6,2,Stables Cafe
09:16:00,6,3,Stables Cafe
09:21:00,6,3,Stables Cafe
09:26:00,6,2,Stables Cafe
09:32:00,6,2,Stables Cafe
09:37:00,6,2,Stables Cafe
09:42:00,6,1,Stables Cafe
09:47:00,6,1,Stables Cafe
09:52:00,6,1,Stables Cafe
09:58:00,6,2,Stables Cafe
10:03:00,6,2,Stables Cafe
10:08:00,6,2,Stables Cafe
10:13:00,6,2,Stables Cafe
10:19:00,6,2,Stables Cafe
10:24:00,6,3,Stables Cafe
10:29:00,6,3,Stables Cafe
10:34:00,6,3,Stables Cafe
10:40:00,6,9,Stables Cafe
10:45:00,6,10,Stables Cafe
10:50:00,6,11,Stables Cafe
10:55:00,6,8,Stables Cafe
11:00:00,6,10,Stables Cafe
11:06:00,6,11,Stables Cafe
11:11:00,6,17,Stables Cafe
11:16:00,6,18,Stables Cafe
11:21:00,6,19,Stables Cafe
11:27:00,6,11,Stables Cafe
11:32:00,6,10,Stables Cafe
11:37:00,6,9,Stables Cafe
11:42:00,6,15,Stables Cafe
11:48:00,6,12,Stables Cafe
11:53:00,6,13,Stables Cafe
11:58:00,6,10,Stables Cafe
12:03:00,6,11,Stables Cafe
12:09:00,6,15,Stables Cafe
12:14:00,6,17,Stables Cafe
12:19:00,6,14,Stables Cafe
12:24:00,6,16,Stables Cafe
12:30:00,6,17,Stables Cafe
12:35:00,6,15,Stables Cafe
12:40:00,6,15,Stables Cafe
12:45:00,6,12,Stables Cafe
12:51:00,6,15,Stables Cafe
12:56:00,6,19,Stables Cafe
13:01:00,6,18,Stables Cafe
13:06:00,6,14,Stables Cafe
13:12:00,6,14,Stables Cafe
13:17:00,6,11,Stables Cafe
13:22:00,6,26,Stables Cafe
13:27:00,6,32,Stables Cafe
13:33:00,6,34,Stables Cafe
13:38:00,6,32,Stables Cafe
13:43:00,6,32,Stables Cafe
13:48:00,6,31,Stables Cafe
13:54:00,6,22,Stables Cafe
13:59:00,6,21,Stables Cafe
14:04:00,6,23,Stables Cafe
14:09:00,6,27,Stables Cafe
14:15:00,6,27,Stables Cafe
14:20:00,6,28,Stables Cafe
14:25:00,6,15,Stables Cafe
14:30:00,6,14,Stables Cafe
14:36:00,6,12,Stables Cafe
14:41:00,6,28,Stables Cafe
14:46:00,6,35,Stables Cafe
14:51:00,6,29,Stables Cafe
14:57:00,6,35,Stables Cafe
15:02:00,6,34,Stables Cafe
15:07:00,6,27,Stables Cafe
15:12:00,6,23,Stables Cafe
15:18:00,6,23,Stables Cafe
15:23:00,6,26,Stables Cafe
15:28:00,6,26,Stables Cafe
15:33:00,6,25,Stables Cafe
15:39:00,6,14,Stables Cafe
15:44:00,6,14,Stables Cafe
15:49:00,6,13,Stables Cafe
15:54:00,6,11,Stables Cafe
16:00:00,6,9,Stables Cafe
16:05:00,6,10,Stables Cafe
16:10:00,6,7,Stables Cafe
16:15:00,6,6,Stables Cafe
16:21:00,6,6,Stables Cafe
16:26:00,6,7,Stables Cafe
16:31:00,6,7,Stables Cafe
16:36:00,6,7,Stables Cafe
16:42:00,6,4,Stables Cafe
16:47:00,6,3,Stables Cafe
16:52:00,6,3,Stables Cafe
16:57:00,6,4,Stables Cafe
17:03:00,6,4,Stables Cafe
17:08:00,6,4,Stables Cafe
17:13:00,6,4,Stables Cafe
17:18:00,6,4,Stables Cafe
17:24:00,6,4,Stables Cafe
17:29:00,6,4,Stables Cafe
17:34:00,6,4,Stables Cafe
17:40:00,6,4,Stables Cafe
17:45:00,6,4,Stables Cafe
17:50:00,6,4,Stables Cafe
17:55:00,6,4,Stables Cafe
09:00:00,7,0,Churchill Exhibition
09:05:00,7,0,Churchill Exhibition
09:11:00,7,0,Churchill Exhibition
09:16:00,7,0,Churchill Exhibition
09:21:00,7,0,Churchill Exhibition
09:26:00,7,0,Churchill Exhibition
09:32:00,7,0,Churchill Exhibition
09:37:00,7,0,Churchill Exhibition
09:42:00,7,0,Churchill Exhibition
09:47:00,7,0,Churchill Exhibition
09:52:00,7,0,Churchill Exhibition
09:58:00,7,0,Churchill Exhibition
10:03:00,7,0,Churchill Exhibition
10:08:00,7,0,Churchill Exhibition
10:13:00,7,1,Churchill Exhibition
10:19:00,7,1,Churchill Exhibition
10:24:00,7,1,Churchill Exhibition
10:29:00,7,1,Churchill Exhibition
10:34:00,7,1,Churchill Exhibition
10:40:00,7,2,Churchill Exhibition
10:45:00,7,2,Churchill Exhibition
10:50:00,7,3,Churchill Exhibition
10:55:00,7,3,Churchill Exhibition
11:00:00,7,4,Churchill Exhibition
11:06:00,7,6,Churchill Exhibition
11:11:00,7,6,Churchill Exhibition
11:16:00,7,9,Churchill Exhibition
11:21:00,7,11,Churchill Exhibition
11:27:00,7,10,Churchill Exhibition
11:32:00,7,10,Churchill Exhibition
11:37:00,7,12,Churchill Exhibition
11:42:00,7,11,Churchill Exhibition
11:48:00,7,14,Churchill Exhibition
11:53:00,7,15,Churchill Exhibition
11:58:00,7,14,Churchill Exhibition
12:03:00,7,16,Churchill Exhibition
12:09:00,7,16,Churchill Exhibition
12:14:00,7,18,Churchill Exhibition
12:19:00,7,12,Churchill Exhibition
12:24:00,7,12,Churchill Exhibition
12:30:00,7,12,Churchill Exhibition
12:35:00,7,12,Churchill Exhibition
12:40:00,7,12,Churchill Exhibition
12:45:00,7,11,Churchill Exhibition
12:51:00,7,15,Churchill Exhibition
12:56:00,7,17,Churchill Exhibition
13:01:00,7,16,Churchill Exhibition
13:06:00,7,15,Churchill Exhibition
13:12:00,7,15,Churchill Exhibition
13:17:00,7,14,Churchill Exhibition
13:22:00,7,15,Churchill Exhibition
13:27:00,7,15,Churchill Exhibition
13:33:00,7,16,Churchill Exhibition
13:38:00,7,19,Churchill Exhibition
13:43:00,7,17,Churchill Exhibition
13:48:00,7,18,Churchill Exhibition
13:54:00,7,16,Churchill Exhibition
13:59:00,7,16,Churchill Exhibition
14:04:00,7,13,Churchill Exhibition
14:09:00,7,11,Churchill Exhibition
14:15:00,7,15,Churchill Exhibition
14:20:00,7,17,Churchill Exhibition
14:25:00,7,16,Churchill Exhibition
14:30:00,7,16,Churchill Exhibition
14:36:00,7,18,Churchill Exhibition
14:41:00,7,19,Churchill Exhibition
14:46:00,7,17,Churchill Exhibition
14:51:00,7,11,Churchill Exhibition
14:57:00,7,11,Churchill Exhibition
15:02:00,7,10,Churchill Exhibition
15:07:00,7,10,Churchill Exhibition
15:12:00,7,9,Churchill Exhibition
15:18:00,7,11,Churchill Exhibition
15:23:00,7,14,Churchill Exhibition
15:28:00,7,14,Churchill Exhibition
15:33:00,7,14,Churchill Exhibition
15:39:00,7,15,Churchill Exhibition
15:44:00,7,12,Churchill Exhibition
15:49:00,7,13,Churchill Exhibition
15:54:00,7,13,Churchill Exhibition
16:00:00,7,10,Churchill Exhibition
16:05:00,7,6,Churchill Exhibition
16:10:00,7,6,Churchill Exhibition
16:15:00,7,5,Churchill Exhibition
16:21:00,7,6,Churchill Exhibition
16:26:00,7,6,Churchill Exhibition
16:31:00,7,7,Churchill Exhibition
16:36:00,7,6,Churchill Exhibition
16:42:00,7,6,Churchill Exhibition
16:47:00,7,6,Churchill Exhibition
16:52:00,7,6,Churchill Exhibition
16:57:00,7,6,Churchill Exhibition
17:03:00,7,5,Churchill Exhibition
17:08:00,7,5,Churchill Exhibition
17:13:00,7,5,Churchill Exhibition
17:18:00,7,5,Churchill Exhibition
17:24:00,7,5,Churchill Exhibition
17:29:00,7,5,Churchill Exhibition
17:34:00,7,5,Churchill Exhibition
17:40:00,7,5,Churchill Exhibition
17:45:00,7,5,Churchill Exhibition
17:50:00,7,5,Churchill Exhibition
17:55:00,7,5,Churchill Exhibition
09:00:00,13,0,Retail Toilet
09:05:00,13,0,Retail Toilet
09:11:00,13,0,Retail Toilet
09:16:00,13,0,Retail Toilet
09:21:00,13,0,Retail Toilet
09:26:00,13,0,Retail Toilet
09:32:00,13,0,Retail Toilet
09:37:00,13,0,Retail Toilet
09:42:00,13,0,Retail Toilet
09:47:00,13,1,Retail Toilet
09:52:00,13,2,Retail Toilet
09:58:00,13,2,Retail Toilet
10:03:00,13,2,Retail Toilet
10:08:00,13,3,Retail Toilet
10:13:00,13,3,Retail Toilet
10:19:00,13,4,Retail Toilet
10:24:00,13,4,Retail Toilet
10:29:00,13,5,Retail Toilet
10:34:00,13,9,Retail Toilet
10:40:00,13,9,Retail Toilet
10:45:00,13,9,Retail Toilet
10:50:00,13,8,Retail Toilet
10:55:00,13,8,Retail Toilet
11:00:00,13,7,Retail Toilet
11:06:00,13,7,Retail Toilet
11:11:00,13,7,Retail Toilet
11:16:00,13,11,Retail Toilet
11:21:00,13,12,Retail Toilet
11:27:00,13,12,Retail Toilet
11:32:00,13,12,Retail Toilet
11:37:00,13,12,Retail Toilet
11:42:00,13,12,Retail Toilet
11:48:00,13,11,Retail Toilet
11:53:00,13,11,Retail Toilet
11:58:00,13,12,Retail Toilet
12:03:00,13,20,Retail Toilet
12:09:00,13,20,Retail Toilet
12:14:00,13,20,Retail Toilet
12:19:00,13,15,Retail Toilet
12:24:00,13,14,Retail Toilet
12:30:00,13,15,Retail Toilet
12:35:00,13,15,Retail Toilet
12:40:00,13,15,Retail Toilet
12:45:00,13,15,Retail Toilet
12:51:00,13,18,Retail Toilet
12:56:00,13,18,Retail Toilet
13:01:00,13,23,Retail Toilet
13:06:00,13,24,Retail Toilet
13:12:00,13,24,Retail Toilet
13:17:00,13,23,Retail Toilet
13:22:00,13,23,Retail Toilet
13:27:00,13,23,Retail Toilet
13:33:00,13,19,Retail Toilet
13:38:00,13,19,Retail Toilet
13:43:00,13,18,Retail Toilet
13:48:00,13,19,Retail Toilet
